round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.0974,0.1712,5.58729,5.75849,0.0005598531944444444
2,0.2907,0.256,8.380935,8.636935000000001,0.0008397020138888889
3,0.3373,0.1288,4.34567,4.47447,0.00043501791666666656
4,0.3672,0.16880000000000003,5.587290000000001,5.75609,0.0005596198611111112
5,0.4083,0.16879999999999998,5.58729,5.75609,0.0005596198611111109
6,0.4016,0.1976,6.518505,6.716105000000001,0.0006529546527777778
7,0.4226,0.18239999999999998,5.897695,6.080095000000001,0.0005911203472222222
8,0.4442,0.1792,5.897695,6.076895,0.000590809236111111
9,0.4484,0.1424,4.6560749999999995,4.798475,0.00046651840277777773
10,0.4649,0.13440000000000002,4.34567,4.48007,0.000435562361111111
11,0.476,0.0864,2.793645,2.880045,0.00028000437499999995
12,0.487,0.23599999999999996,7.760125,7.996125000000001,0.0007774010416666665
13,0.4989,0.1464,4.6560749999999995,4.802474999999999,0.0004669072916666666
14,0.4974,0.13680000000000003,4.656075,4.792875,0.0004659739583333332
15,0.4865,0.1344,4.34567,4.48007,0.000435562361111111
16,0.5135,0.1584,5.276885,5.435285000000001,0.000528430486111111
17,0.5251,0.1064,3.7248599999999996,3.8312599999999994,0.000372483611111111
18,0.5166,0.2256,7.44972,7.675320000000001,0.0007462116666666666
19,0.5357,0.11599999999999999,3.7248599999999996,3.8408599999999997,0.00037341694444444437
20,0.5209,0.20959999999999995,6.828909999999999,7.0385100000000005,0.0006842995833333332
21,0.5487,0.124,4.035265,4.159265,0.000404372986111111
22,0.5529,0.19759999999999997,6.518505,6.716105000000001,0.0006529546527777777
23,0.5521,0.12000000000000001,4.035265,4.155265,0.00040398409722222216
24,0.5706,0.1896,6.2081,6.3977,0.0006219986111111111
25,0.5551,0.12000000000000002,4.035265,4.155265,0.0004039840972222221
26,0.5753,0.18719999999999998,6.2081,6.395300000000001,0.0006217652777777778
27,0.585,0.12000000000000002,4.035265,4.155265,0.0004039840972222221
28,0.5866,0.1976,6.518505000000001,6.716105000000001,0.0006529546527777777
29,0.5752,0.132,4.345669999999999,4.47767,0.00043532902777777767
30,0.5947,0.20959999999999998,6.8289100000000005,7.0385100000000005,0.0006842995833333332
31,0.5795,0.132,4.34567,4.47767,0.0004353290277777777
32,0.6023,0.1712,5.587289999999999,5.75849,0.0005598531944444444
33,0.6058,0.1896,6.2081,6.3977,0.0006219986111111111
34,0.5837,0.2096,6.8289100000000005,7.0385100000000005,0.0006842995833333333
35,0.6025,0.13200000000000003,4.34567,4.47767,0.0004353290277777777
36,0.6134,0.19759999999999997,6.518505,6.716105000000001,0.0006529546527777777
37,0.6152,0.14479999999999998,4.966479999999999,5.111279999999999,0.0004969299999999998
38,0.6185,0.1872,6.208100000000001,6.395300000000001,0.0006217652777777777
39,0.6156,0.10400000000000001,3.414455,3.518455,0.00034207201388888886
40,0.6225,0.20559999999999998,6.82891,7.034510000000001,0.0006839106944444443
41,0.6235,0.1488,4.96648,5.11528,0.0004973188888888888
42,0.6248,0.22559999999999997,7.44972,7.675320000000001,0.0007462116666666666
43,0.6331,0.096,3.10405,3.20005,0.00031111597222222215
44,0.6304,0.21759999999999996,7.139315,7.356915000000001,0.0007152556249999998
45,0.6231,0.112,3.7248599999999996,3.8368599999999997,0.00037302805555555546
46,0.6368,0.2176,7.139315,7.356915000000001,0.000715255625
47,0.6357,0.12400000000000003,4.035265,4.159265,0.000404372986111111
48,0.6401,0.17119999999999996,5.587289999999999,5.75849,0.0005598531944444444
49,0.6321,0.12400000000000001,4.035265,4.1592649999999995,0.000404372986111111
50,0.6393,0.19759999999999997,6.518505,6.716105000000001,0.0006529546527777777
51,0.6415,0.132,4.34567,4.47767,0.0004353290277777777
52,0.652,0.1792,5.897695000000001,6.076895,0.0005908092361111111
53,0.6577,0.14,4.6560749999999995,4.796075,0.0004662850694444444
54,0.6522,0.19759999999999997,6.518505,6.716105000000001,0.0006529546527777777
55,0.6547,0.11200000000000002,3.7248599999999996,3.8368599999999997,0.0003730280555555555
56,0.6574,0.21759999999999996,7.139315,7.356915000000001,0.0007152556249999998
57,0.6607,0.104,3.414455,3.518455,0.0003420720138888888
58,0.6615,0.21759999999999996,7.139315,7.356915000000001,0.0007152556249999998
59,0.6623,0.11200000000000002,3.7248599999999996,3.8368599999999997,0.0003730280555555555
60,0.6675,0.16319999999999998,5.276885,5.440085,0.0005288971527777777
61,0.6547,0.1,3.4144549999999994,3.5144549999999994,0.00034168312499999995
62,0.6727,0.1304,4.34567,4.47607,0.0004351734722222221
63,0.6582,0.124,4.035265,4.159265,0.000404372986111111
64,0.6721,0.1648,5.587289999999999,5.752089999999999,0.0005592309722222222
65,0.6748,0.10400000000000002,3.414455,3.518455,0.00034207201388888886
66,0.6643,0.092,3.1040499999999995,3.1960499999999996,0.00031072708333333324
67,0.6578,0.14,4.6560749999999995,4.796075,0.0004662850694444444
68,0.6814,0.1712,5.58729,5.75849,0.0005598531944444444
69,0.6736,0.14,4.656075,4.796075,0.0004662850694444444
70,0.6759,0.20559999999999998,6.82891,7.034510000000001,0.0006839106944444443
71,0.665,0.12400000000000003,4.035265,4.1592649999999995,0.000404372986111111
72,0.676,0.1168,3.72486,3.84166,0.00037349472222222217
73,0.6568,0.124,4.035265,4.1592649999999995,0.000404372986111111
74,0.6793,0.2176,7.139315000000001,7.356915000000001,0.0007152556249999999
75,0.6868,0.09200000000000001,3.10405,3.19605,0.0003107270833333333
76,0.6931,0.1512,4.96648,5.11768,0.0004975522222222221
77,0.68,0.13200000000000003,4.34567,4.47767,0.00043532902777777767
78,0.6952,0.1896,6.208100000000001,6.3977,0.0006219986111111111
79,0.6802,0.10400000000000001,3.414455,3.518455,0.0003420720138888888
80,0.6939,0.2096,6.8289100000000005,7.0385100000000005,0.0006842995833333332
81,0.6929,0.10400000000000001,3.414455,3.518455,0.0003420720138888888
82,0.6983,0.20959999999999998,6.82891,7.0385100000000005,0.0006842995833333332
83,0.6919,0.12400000000000001,4.035265,4.159265,0.000404372986111111
84,0.6939,0.17919999999999997,5.897695,6.076895,0.0005908092361111111
85,0.6971,0.12400000000000001,4.035265,4.1592649999999995,0.00040437298611111107
86,0.702,0.21759999999999996,7.139315,7.356915000000001,0.0007152556249999999
87,0.6999,0.132,4.34567,4.47767,0.00043532902777777767
88,0.7024,0.1976,6.518505000000001,6.716105000000001,0.0006529546527777778
89,0.7016,0.12000000000000002,4.035265,4.155265,0.00040398409722222216
90,0.7061,0.2056,6.8289100000000005,7.034510000000001,0.0006839106944444445
91,0.7082,0.13199999999999998,4.345669999999999,4.47767,0.00043532902777777767
92,0.7016,0.2176,7.139315000000001,7.356915000000001,0.0007152556249999998
93,0.7064,0.10400000000000001,3.4144550000000002,3.5184550000000003,0.0003420720138888888
94,0.7071,0.18959999999999996,6.208099999999999,6.3977,0.0006219986111111111
95,0.7014,0.09200000000000003,3.1040499999999995,3.1960499999999996,0.00031072708333333324
96,0.7084,0.2256,7.44972,7.675320000000001,0.0007462116666666665
97,0.7108,0.11200000000000002,3.72486,3.83686,0.0003730280555555555
98,0.7105,0.2256,7.44972,7.675320000000001,0.0007462116666666667
99,0.7116,0.124,4.035265,4.159265,0.000404372986111111
100,0.7176,0.1512,4.96648,5.11768,0.0004975522222222221
